dep;jour;hosp;rea;dc;rad
62;20/03/2020;25;9;1;6
63;20/03/2020;0;0;0;4
64;20/03/2020;1;0;1;1
65;20/03/2020;0;0;0;0
66;20/03/2020;7;6;1;0
67;20/03/2020;44;6;6;10
68;20/03/2020;92;19;13;30
69;20/03/2020;32;9;2;11
70;20/03/2020;8;1;0;2
71;20/03/2020;10;2;1;3
72;20/03/2020;0;0;0;0
73;20/03/2020;5;0;0;1
74;20/03/2020;23;0;0;4
75;20/03/2020;120;21;5;28
76;20/03/2020;14;1;1;1
77;20/03/2020;29;10;1;2
78;20/03/2020;32;6;5;9
79;20/03/2020;8;0;0;5
80;20/03/2020;26;8;1;4
81;20/03/2020;3;0;0;2
82;20/03/2020;0;0;0;0
83;20/03/2020;8;3;0;2
84;20/03/2020;2;0;0;1
85;20/03/2020;1;0;0;0
86;20/03/2020;0;0;0;0
87;20/03/2020;1;1;0;0
88;20/03/2020;6;1;1;0
89;20/03/2020;2;0;0;0
90;20/03/2020;1;1;0;0
91;20/03/2020;40;6;1;3
92;20/03/2020;66;14;4;15
93;20/03/2020;44;6;5;11
94;20/03/2020;67;14;1;17
95;20/03/2020;60;12;4;21
971;20/03/2020;0;0;0;0
972;20/03/2020;2;0;0;0
973;20/03/2020;0;0;0;0
974;20/03/2020;0;0;0;0
976;20/03/2020;0;0;0;0
1;21/03/2020;3;0;0;0
2;21/03/2020;30;4;1;9
3;21/03/2020;4;0;0;1
4;21/03/2020;1;0;0;0
5;21/03/2020;3;0;0;1
6;21/03/2020;5;0;2;1
7;21/03/2020;6;0;0;1
8;21/03/2020;2;0;0;0
9;21/03/2020;1;0;0;1
10;21/03/2020;6;2;0;0
11;21/03/2020;2;0;3;0
12;21/03/2020;1;0;0;1
13;21/03/2020;63;12;0;21
14;21/03/2020;6;3;0;1
15;21/03/2020;1;0;0;0
16;21/03/2020;2;1;0;0
17;21/03/2020;4;2;0;2
18;21/03/2020;0;0;0;0
19;21/03/2020;3;0;0;0
21;21/03/2020;2;0;1;10
22;21/03/2020;2;1;0;0
23;21/03/2020;1;0;0;0
24;21/03/2020;1;0;0;0
25;21/03/2020;13;6;2;7
26;21/03/2020;11;3;2;1
27;21/03/2020;3;2;0;0
28;21/03/2020;4;0;0;2
29;21/03/2020;0;1;0;0
2A;21/03/2020;4;0;1;3
2B;21/03/2020;0;0;0;0
30;21/03/2020;4;0;0;4
31;21/03/2020;19;4;0;6
32;21/03/2020;1;0;0;0
33;21/03/2020;34;12;0;1
34;21/03/2020;19;4;0;9
35;21/03/2020;8;3;0;1
36;21/03/2020;1;1;0;0
37;21/03/2020;1;0;0;1
38;21/03/2020;13;1;0;4
39;21/03/2020;1;0;0;0
40;21/03/2020;0;0;0;0
41;21/03/2020;0;0;0;0
42;21/03/2020;22;2;2;5
43;21/03/2020;2;0;0;0
44;21/03/2020;16;3;0;2
45;21/03/2020;6;2;1;1
46;21/03/2020;4;0;0;3
47;21/03/2020;3;0;0;0
48;21/03/2020;0;0;0;0
49;21/03/2020;8;4;2;2
50;21/03/2020;6;0;0;1
51;21/03/2020;26;6;0;1
52;21/03/2020;2;2;0;0
53;21/03/2020;1;0;0;0
54;21/03/2020;19;7;10;0
55;21/03/2020;17;1;1;1
56;21/03/2020;24;4;3;1
57;21/03/2020;68;11;3;15
58;21/03/2020;0;0;0;0
59;21/03/2020;30;15;1;7
60;21/03/2020;30;1;0;14
61;21/03/2020;0;0;0;0
62;21/03/2020;11;2;0;6
63;21/03/2020;2;1;0;2
64;21/03/2020;5;2;0;0
65;21/03/2020;3;0;0;0
66;21/03/2020;1;1;1;0
67;21/03/2020;67;21;3;10
68;21/03/2020;83;8;20;39
69;21/03/2020;71;7;2;4
70;21/03/2020;4;2;0;0
71;21/03/2020;11;1;2;10
72;21/03/2020;3;0;0;0
73;21/03/2020;2;0;0;0
74;21/03/2020;15;1;1;6
75;21/03/2020;138;34;7;35
76;21/03/2020;17;4;0;1
77;21/03/2020;31;9;3;2
78;21/03/2020;57;10;2;14
79;21/03/2020;3;0;0;1
80;21/03/2020;30;6;5;5
81;21/03/2020;1;0;1;0
82;21/03/2020;2;1;0;0
83;21/03/2020;19;3;0;12
84;21/03/2020;7;2;0;1
85;21/03/2020;0;1;0;2
86;21/03/2020;3;2;0;1
87;21/03/2020;3;0;1;0
88;21/03/2020;23;7;7;7
89;21/03/2020;2;0;0;0
90;21/03/2020;34;2;9;10
91;21/03/2020;42;8;2;1
92;21/03/2020;99;17;9;22
93;21/03/2020;51;10;1;6
94;21/03/2020;57;6;0;12
95;21/03/2020;74;10;4;18
971;21/03/2020;0;0;0;0
972;21/03/2020;0;0;0;0
973;21/03/2020;0;0;0;0
974;21/03/2020;0;0;0;0
976;21/03/2020;0;0;0;0
1;22/03/2020;3;1;0;1
2;22/03/2020;13;1;3;8
3;22/03/2020;1;0;0;2
4;22/03/2020;0;0;0;0
5;22/03/2020;3;0;0;0
6;22/03/2020;2;1;2;2
7;22/03/2020;2;0;0;0
8;22/03/2020;1;0;0;0
9;22/03/2020;1;0;0;0
10;22/03/2020;9;0;0;0
11;22/03/2020;5;1;1;0
12;22/03/2020;2;0;0;0
13;22/03/2020;48;1;0;11
14;22/03/2020;10;2;0;0
15;22/03/2020;0;1;0;0
16;22/03/2020;3;2;1;0
17;22/03/2020;2;1;0;1
18;22/03/2020;0;0;0;0
19;22/03/2020;1;0;1;0
21;22/03/2020;42;11;3;27
22;22/03/2020;0;1;0;0
23;22/03/2020;1;0;0;0
24;22/03/2020;2;0;0;0
25;22/03/2020;24;1;3;4
26;22/03/2020;5;2;1;1
27;22/03/2020;5;1;0;0
28;22/03/2020;2;0;0;0
29;22/03/2020;6;0;1;3
2A;22/03/2020;7;2;2;1
2B;22/03/2020;0;0;0;0
30;22/03/2020;5;0;1;0
31;22/03/2020;14;3;0;2
32;22/03/2020;0;0;0;0
33;22/03/2020;9;1;0;0
34;22/03/2020;11;4;2;7
35;22/03/2020;4;2;0;0
36;22/03/2020;0;0;0;0
37;22/03/2020;1;1;0;0
38;22/03/2020;8;2;1;1
39;22/03/2020;2;0;0;0
40;22/03/2020;0;0;0;0
41;22/03/2020;1;0;0;0
42;22/03/2020;31;5;2;2
43;22/03/2020;2;0;0;1
44;22/03/2020;15;4;1;1
45;22/03/2020;10;6;0;4
46;22/03/2020;0;0;0;0
47;22/03/2020;2;1;0;0
48;22/03/2020;2;0;0;1
49;22/03/2020;7;1;0;7
50;22/03/2020;2;2;0;0
51;22/03/2020;28;5;3;3
52;22/03/2020;2;0;0;0
53;22/03/2020;1;0;0;0
54;22/03/2020;44;23;2;10
55;22/03/2020;0;0;0;0
56;22/03/2020;11;5;1;4
57;22/03/2020;65;8;11;12
58;22/03/2020;1;1;0;0
59;22/03/2020;32;7;7;2
60;22/03/2020;14;1;1;4
61;22/03/2020;0;0;0;0
62;22/03/2020;6;2;0;4
63;22/03/2020;1;1;0;0
64;22/03/2020;3;0;0;0
65;22/03/2020;2;0;0;1
66;22/03/2020;41;7;0;1
67;22/03/2020;79;16;11;0
68;22/03/2020;50;8;16;13
69;22/03/2020;56;9;6;10
70;22/03/2020;0;1;0;0
71;22/03/2020;42;0;2;27
72;22/03/2020;5;1;0;1
73;22/03/2020;8;1;0;0
74;22/03/2020;16;3;2;2
75;22/03/2020;147;31;4;33
76;22/03/2020;14;3;2;2
77;22/03/2020;37;9;0;3
78;22/03/2020;37;3;0;4
79;22/03/2020;4;0;1;2
80;22/03/2020;18;4;0;0
81;22/03/2020;2;0;0;1
82;22/03/2020;1;1;0;0
83;22/03/2020;22;4;0;11
84;22/03/2020;3;0;0;1
85;22/03/2020;4;3;0;1
86;22/03/2020;2;0;1;0
87;22/03/2020;3;0;0;0
88;22/03/2020;13;3;4;5
89;22/03/2020;1;0;0;0
90;22/03/2020;18;0;5;19
91;22/03/2020;63;18;0;5
92;22/03/2020;114;25;3;17
93;22/03/2020;29;9;4;6
94;22/03/2020;75;18;6;15
95;22/03/2020;87;12;7;9
971;22/03/2020;6;5;0;0
972;22/03/2020;1;1;0;0
973;22/03/2020;0;0;0;0
974;22/03/2020;0;0;0;0
976;22/03/2020;0;0;0;0
1;23/03/2020;14;1;0;5
2;23/03/2020;27;1;2;5
3;23/03/2020;11;0;1;4
4;23/03/2020;0;0;0;0
5;23/03/2020;5;3;0;2
6;23/03/2020;22;5;0;0
7;23/03/2020;7;0;1;0
8;23/03/2020;1;1;0;0
9;23/03/2020;1;2;0;0
10;23/03/2020;9;0;2;0
11;23/03/2020;14;4;0;0
12;23/03/2020;1;0;0;0
13;23/03/2020;80;15;0;30
14;23/03/2020;11;2;0;2
15;23/03/2020;0;0;0;0
16;23/03/2020;2;2;0;0
17;23/03/2020;2;1;0;1
18;23/03/2020;0;0;0;0
19;23/03/2020;3;1;1;0
21;23/03/2020;21;2;6;12
22;23/03/2020;2;0;0;0
23;23/03/2020;3;0;0;0
24;23/03/2020;23;0;0;9
25;23/03/2020;1;0;1;2
26;23/03/2020;12;4;2;1
27;23/03/2020;3;0;0;0
28;23/03/2020;20;8;1;0
29;23/03/2020;6;2;2;0
2A;23/03/2020;8;2;1;1
2B;23/03/2020;8;0;0;8
30;23/03/2020;3;4;0;1
31;23/03/2020;16;6;0;3
32;23/03/2020;1;0;0;0
33;23/03/2020;22;5;1;6
34;23/03/2020;23;8;3;2
35;23/03/2020;12;4;0;2
36;23/03/2020;13;3;2;0
37;23/03/2020;5;1;1;0
38;23/03/2020;16;4;1;4
39;23/03/2020;2;0;0;0
40;23/03/2020;4;0;0;0
41;23/03/2020;4;1;0;1
42;23/03/2020;24;3;2;4
43;23/03/2020;2;1;0;0
44;23/03/2020;4;2;1;0
45;23/03/2020;11;4;1;4
46;23/03/2020;0;0;0;0
47;23/03/2020;5;2;1;0
48;23/03/2020;2;0;0;0
49;23/03/2020;28;5;2;1
50;23/03/2020;2;1;0;1
51;23/03/2020;33;9;3;9
52;23/03/2020;0;0;0;1
53;23/03/2020;6;1;1;0
54;23/03/2020;24;6;3;4
55;23/03/2020;35;1;1;9
56;23/03/2020;5;0;4;4
57;23/03/2020;69;13;17;8
58;23/03/2020;1;0;0;0
59;23/03/2020;58;26;2;11
60;23/03/2020;45;4;10;7
61;23/03/2020;6;1;0;4
62;23/03/2020;22;9;2;0
63;23/03/2020;3;0;0;0
64;23/03/2020;7;0;0;3
65;23/03/2020;2;0;0;1
66;23/03/2020;23;4;1;2
67;23/03/2020;86;28;8;24
68;23/03/2020;141;21;22;14
69;23/03/2020;109;22;7;8
70;23/03/2020;3;2;0;0
71;23/03/2020;22;1;1;3
72;23/03/2020;6;1;1;0
73;23/03/2020;6;2;1;5
74;23/03/2020;26;8;3;3
75;23/03/2020;189;31;18;33
76;23/03/2020;14;3;1;0
77;23/03/2020;42;16;0;14
78;23/03/2020;34;9;3;7
79;23/03/2020;1;0;0;1
80;23/03/2020;14;2;1;1
81;23/03/2020;0;2;0;0
82;23/03/2020;0;0;0;1
83;23/03/2020;8;1;3;5
84;23/03/2020;9;3;2;5
85;23/03/2020;3;2;0;0
86;23/03/2020;3;1;1;0
87;23/03/2020;4;1;0;0
88;23/03/2020;18;2;7;4
89;23/03/2020;3;4;0;0
90;23/03/2020;34;3;6;2
91;23/03/2020;49;22;0;5
92;23/03/2020;124;22;6;25
93;23/03/2020;74;16;4;12
94;23/03/2020;104;24;6;18
95;23/03/2020;72;15;9;13
971;23/03/2020;0;0;0;0
972;23/03/2020;0;0;0;0
973;23/03/2020;0;0;0;0
974;23/03/2020;0;0;0;0
976;23/03/2020;0;0;0;0
1;24/03/2020;11;1;0;4
2;24/03/2020;46;4;3;23
3;24/03/2020;1;0;0;0
4;24/03/2020;0;0;0;0
5;24/03/2020;4;1;1;4
6;24/03/2020;12;1;0;23
7;24/03/2020;8;2;1;1
8;24/03/2020;0;0;0;1
9;24/03/2020;0;0;0;0
10;24/03/2020;3;0;0;0
11;24/03/2020;5;1;2;0
12;24/03/2020;6;1;0;1
13;24/03/2020;94;20;3;30
14;24/03/2020;5;4;0;2
15;24/03/2020;2;1;0;0
16;24/03/2020;8;0;1;0
17;24/03/2020;14;0;0;0
18;24/03/2020;3;2;0;1
19;24/03/2020;7;2;1;0
21;24/03/2020;42;0;9;22
22;24/03/2020;4;2;0;0
23;24/03/2020;0;0;0;0
24;24/03/2020;9;1;0;4
25;24/03/2020;24;5;1;5
26;24/03/2020;20;5;2;5
27;24/03/2020;1;0;0;0
28;24/03/2020;9;2;1;1
29;24/03/2020;9;3;1;5
2A;24/03/2020;8;0;0;4
2B;24/03/2020;4;0;0;3
30;24/03/2020;4;4;2;3
31;24/03/2020;29;9;1;13
32;24/03/2020;3;0;0;0
33;24/03/2020;40;21;0;8
34;24/03/2020;26;9;1;7
35;24/03/2020;9;2;1;6
36;24/03/2020;3;2;0;0
37;24/03/2020;7;1;0;3
38;24/03/2020;22;1;0;12
39;24/03/2020;14;1;0;2
40;24/03/2020;0;0;0;0
41;24/03/2020;9;0;0;5
42;24/03/2020;46;3;3;6
43;24/03/2020;2;0;0;1
44;24/03/2020;36;4;3;9
45;24/03/2020;0;0;0;0
46;24/03/2020;0;0;0;0
47;24/03/2020;3;0;1;1
48;24/03/2020;4;2;0;1
49;24/03/2020;18;7;1;5
50;24/03/2020;2;1;2;0
51;24/03/2020;48;5;2;14
52;24/03/2020;15;1;1;5
53;24/03/2020;0;0;0;0
54;24/03/2020;42;17;5;8
55;24/03/2020;23;3;7;4
56;24/03/2020;9;1;0;8
57;24/03/2020;173;27;12;24
58;24/03/2020;0;0;0;0
59;24/03/2020;50;15;4;2
60;24/03/2020;41;4;9;17
61;24/03/2020;5;0;0;3
62;24/03/2020;32;10;3;1
63;24/03/2020;14;4;0;0
64;24/03/2020;7;5;0;2
65;24/03/2020;0;0;0;2
66;24/03/2020;16;6;1;6
67;24/03/2020;130;28;19;44
68;24/03/2020;179;17;33;42
69;24/03/2020;82;22;8;21
70;24/03/2020;16;7;3;3
71;24/03/2020;63;5;7;49
72;24/03/2020;9;1;0;6
73;24/03/2020;6;1;0;3
74;24/03/2020;14;7;2;10
75;24/03/2020;209;70;21;35
76;24/03/2020;24;6;4;3
77;24/03/2020;49;19;8;17
78;24/03/2020;98;23;8;19
79;24/03/2020;1;0;0;0
80;24/03/2020;24;3;4;6
81;24/03/2020;1;0;0;0
82;24/03/2020;1;0;0;1
83;24/03/2020;19;3;2;5
84;24/03/2020;1;0;0;0
85;24/03/2020;4;0;0;0
86;24/03/2020;6;0;0;4
87;24/03/2020;3;2;1;0
88;24/03/2020;33;6;4;12
89;24/03/2020;2;0;0;0
90;24/03/2020;24;1;3;7
91;24/03/2020;61;8;4;19
92;24/03/2020;171;40;5;38
93;24/03/2020;86;23;10;17
94;24/03/2020;122;30;3;19
95;24/03/2020;63;23;10;35
971;24/03/2020;0;0;0;0
972;24/03/2020;5;2;0;11
973;24/03/2020;0;0;0;0
974;24/03/2020;1;1;0;0
976;24/03/2020;0;0;0;0
1;25/03/2020;13;2;0;5
2;25/03/2020;15;5;1;8
3;25/03/2020;6;0;0;4
4;25/03/2020;17;0;0;13
5;25/03/2020;6;0;0;3
6;25/03/2020;29;5;1;8
7;25/03/2020;44;1;1;33
8;25/03/2020;2;1;0;0
9;25/03/2020;5;0;0;1
10;25/03/2020;17;5;4;3
11;25/03/2020;12;1;3;4
12;25/03/2020;3;1;0;5
13;25/03/2020;80;5;5;65
14;25/03/2020;17;4;0;1
15;25/03/2020;1;1;0;1
16;25/03/2020;12;1;2;0
17;25/03/2020;11;1;0;1
18;25/03/2020;5;3;0;0
19;25/03/2020;4;1;0;0
21;25/03/2020;76;10;5;22
22;25/03/2020;6;0;0;0
23;25/03/2020;3;2;0;0
24;25/03/2020;6;1;0;0
25;25/03/2020;17;2;1;15
26;25/03/2020;32;6;5;3
27;25/03/2020;6;1;0;0
28;25/03/2020;15;7;1;3
29;25/03/2020;9;3;0;3
2A;25/03/2020;21;0;7;3
2B;25/03/2020;1;0;1;0
30;25/03/2020;7;2;1;1
31;25/03/2020;28;11;0;6
32;25/03/2020;3;0;0;0
33;25/03/2020;87;7;3;28
34;25/03/2020;45;9;3;5
35;25/03/2020;12;2;0;4
36;25/03/2020;7;0;3;0
37;25/03/2020;9;3;1;5
38;25/03/2020;29;10;0;7
39;25/03/2020;5;2;0;0
40;25/03/2020;7;3;0;1
41;25/03/2020;2;1;0;1
42;25/03/2020;59;12;2;3
43;25/03/2020;6;1;0;3
44;25/03/2020;18;4;1;4
45;25/03/2020;20;5;0;5
46;25/03/2020;1;1;0;0
47;25/03/2020;3;0;0;1
48;25/03/2020;1;0;0;0
49;25/03/2020;18;1;1;7
50;25/03/2020;6;0;1;4
51;25/03/2020;58;10;6;13
52;25/03/2020;0;1;0;1
53;25/03/2020;7;2;0;0
54;25/03/2020;45;6;4;6
55;25/03/2020;16;1;2;4
56;25/03/2020;14;0;3;9
57;25/03/2020;92;20;14;34
58;25/03/2020;0;0;0;0
59;25/03/2020;63;20;1;5
60;25/03/2020;34;10;6;7
61;25/03/2020;14;2;1;10
62;25/03/2020;28;8;2;9
63;25/03/2020;3;2;0;1
64;25/03/2020;13;3;2;1
65;25/03/2020;1;1;0;0
66;25/03/2020;20;4;0;11
67;25/03/2020;116;25;14;32
68;25/03/2020;201;23;52;54
69;25/03/2020;128;42;10;20
70;25/03/2020;15;8;3;3
71;25/03/2020;43;4;5;21
72;25/03/2020;4;1;0;1
73;25/03/2020;17;2;1;2
74;25/03/2020;36;6;1;11
75;25/03/2020;316;66;32;62
76;25/03/2020;36;11;1;4
77;25/03/2020;68;21;4;13
78;25/03/2020;80;17;12;28
79;25/03/2020;3;0;0;1
80;25/03/2020;34;4;3;11
81;25/03/2020;8;4;0;1
82;25/03/2020;0;0;0;0
83;25/03/2020;31;5;1;8
84;25/03/2020;13;2;0;5
85;25/03/2020;20;1;1;1
86;25/03/2020;8;3;1;4
87;25/03/2020;3;1;1;0
88;25/03/2020;46;7;5;8
89;25/03/2020;13;2;0;0
90;25/03/2020;35;2;3;6
91;25/03/2020;100;16;5;23
92;25/03/2020;180;37;15;42
93;25/03/2020;83;10;9;9
94;25/03/2020;144;36;7;33
95;25/03/2020;102;16;13;30
971;25/03/2020;0;0;0;0
972;25/03/2020;11;2;0;1
973;25/03/2020;0;0;0;0
974;25/03/2020;0;0;0;0
976;25/03/2020;0;0;0;0
1;26/03/2020;14;3;2;2
2;26/03/2020;23;4;2;10
3;26/03/2020;10;1;1;6
4;26/03/2020;1;0;0;0
5;26/03/2020;7;2;0;1
6;26/03/2020;17;1;3;5
7;26/03/2020;11;1;1;5
8;26/03/2020;8;4;0;0
9;26/03/2020;0;0;0;0
10;26/03/2020;12;2;0;0
11;26/03/2020;13;3;1;6
12;26/03/2020;8;2;3;0
13;26/03/2020;114;20;4;53
14;26/03/2020;9;3;0;4
15;26/03/2020;0;0;0;1
16;26/03/2020;5;0;0;4
17;26/03/2020;28;7;0;8
18;26/03/2020;3;1;1;0
19;26/03/2020;2;2;0;1
21;26/03/2020;27;0;5;12
22;26/03/2020;7;2;0;0
23;26/03/2020;2;2;0;0
24;26/03/2020;6;0;0;1
25;26/03/2020;17;4;6;8
26;26/03/2020;44;9;5;13
27;26/03/2020;12;2;1;0
28;26/03/2020;18;4;4;4
29;26/03/2020;10;1;0;3
2A;26/03/2020;18;4;3;2
2B;26/03/2020;9;0;1;8
30;26/03/2020;0;2;0;2
31;26/03/2020;35;19;0;5
32;26/03/2020;0;0;0;1
33;26/03/2020;44;7;5;17
34;26/03/2020;37;8;3;16
35;26/03/2020;15;2;0;5
36;26/03/2020;1;0;0;1
37;26/03/2020;11;1;0;5
38;26/03/2020;19;5;1;8
39;26/03/2020;16;5;0;0
40;26/03/2020;0;1;0;1
41;26/03/2020;7;2;0;1
42;26/03/2020;40;8;3;3
43;26/03/2020;2;2;0;0
44;26/03/2020;7;6;2;2
45;26/03/2020;17;7;2;5
46;26/03/2020;1;0;0;1
47;26/03/2020;2;2;2;1
48;26/03/2020;0;0;0;1
49;26/03/2020;25;5;2;10
50;26/03/2020;2;1;0;1
51;26/03/2020;27;4;3;6
52;26/03/2020;16;1;2;1
53;26/03/2020;9;1;2;0
54;26/03/2020;27;5;5;10
55;26/03/2020;19;2;1;8
56;26/03/2020;27;5;1;5
57;26/03/2020;125;12;20;30
58;26/03/2020;1;0;0;0
59;26/03/2020;66;17;7;14
60;26/03/2020;61;7;14;31
61;26/03/2020;7;1;0;4
62;26/03/2020;29;5;1;10
63;26/03/2020;6;1;0;1
64;26/03/2020;19;2;1;10
65;26/03/2020;11;0;1;2
66;26/03/2020;23;7;1;7
67;26/03/2020;126;24;13;75
68;26/03/2020;177;35;33;49
69;26/03/2020;146;21;14;40
70;26/03/2020;21;4;0;2
71;26/03/2020;66;3;4;21
72;26/03/2020;24;3;1;7
73;26/03/2020;11;6;0;1
74;26/03/2020;35;7;1;13
75;26/03/2020;276;66;28;65
76;26/03/2020;31;15;1;3
77;26/03/2020;75;27;5;16
78;26/03/2020;111;16;6;26
79;26/03/2020;4;0;0;0
80;26/03/2020;19;6;4;8
81;26/03/2020;10;3;0;3
82;26/03/2020;0;0;0;0
83;26/03/2020;24;3;4;8
84;26/03/2020;8;1;0;6
85;26/03/2020;16;2;1;2
86;26/03/2020;13;5;0;4
87;26/03/2020;5;0;1;1
88;26/03/2020;16;6;7;13
89;26/03/2020;5;1;1;1
90;26/03/2020;12;2;5;10
91;26/03/2020;77;19;3;12
92;26/03/2020;168;48;10;36
93;26/03/2020;120;21;21;20
94;26/03/2020;159;15;18;30
95;26/03/2020;106;9;15;29
971;26/03/2020;19;3;0;4
972;26/03/2020;8;4;0;1
973;26/03/2020;0;0;0;0
974;26/03/2020;0;0;0;0
976;26/03/2020;0;0;0;0
1;27/03/2020;14;2;0;0
2;27/03/2020;16;3;1;5
3;27/03/2020;6;1;2;1
4;27/03/2020;4;0;0;2
5;27/03/2020;5;1;0;2
6;27/03/2020;19;4;0;5
7;27/03/2020;12;2;4;6
8;27/03/2020;0;1;0;0
9;27/03/2020;1;0;0;0
10;27/03/2020;4;0;0;0
11;27/03/2020;12;2;0;3
12;27/03/2020;6;1;1;3
